sample_id	clock_like_number	subclonal_count	timing_late_clonal_count	timing_early_clonal_count	timing_na_clonal_count	timing_subclonal_count
CPCT02330095T	3397	40	476	1742	1179	0
CPCT02070198T	1487	0	NA	NA	NA	NA
CPCT02050352T	2392	1	152	1418	822	0
CPCT02030238T	1410	132	1	98	1137	174
CPCT02100130T	364	5	0	18	346	0
CPCT02220027T	2255	45	160	1527	514	57
CPCT02390027T	2184	0	NA	NA	NA	NA
CPCT02120079T	2307	1	257	1849	201	0
CPCT02070405T	2912	23	432	589	1891	0
CPCT02190027T	2942	42	553	1357	1032	0
CPCT02070262T	2944	131	92	363	2377	112
CPCT02180026T	2254	6	152	1252	850	0
CPCT02040264T	1797	29	170	1438	189	0
CPCT02230087T	2979	49	394	902	1685	1
CPCT02010666T	2437	40	138	413	1886	0
CPCT02170016T	2083	14	115	307	1661	0
CPCT02130144T	3312	12	354	1307	1651	0
CPCT02070239T	2127	188	3	81	1849	194
CPCT02050107T	1379	1	31	144	1204	0
CPCT02220022T	2041	97	0	466	0	1575
CPCT02050258T	2395	22	257	1786	352	0
CPCT02120119T	3034	45	292	1724	1018	0
CPCT02030371T	2327	2	746	744	837	0
CPCT02100131T	3030	90	421	1041	1474	94
CPCT02010750TII	2672	406	74	136	2222	243
DRUP01010059T	1531	27	129	93	1213	96
CPCT02130094T	1220	6	28	41	1151	0
CPCT02010743T	2068	290	45	140	1435	448
CPCT02050068T	1961	3	240	1507	214	0
CPCT02160021T	2016	24	145	1121	750	0
CPCT02050354T	2157	57	127	290	1695	45
CPCT02330036T	2255	154	288	1950	17	0
CPCT02180042T	1695	58	182	542	833	138
CPCT02010529T	1790	11	347	928	515	0
CPCT02230078T	3054	26	NA	NA	NA	NA
CPCT02100165T	2604	34	436	881	1289	1
CPCT02180048T	2795	0	NA	NA	NA	NA
CPCT02380005T	2043	555	NA	NA	NA	NA
CPCT02050187T	1869	530	232	649	437	560
CPCT02010674T	1686	24	8	300	1355	23
CPCT02050031T	2878	46	30	335	2513	0
CPCT02110003T	1876	2	NA	NA	NA	NA
CPCT02010841T	1324	32	164	473	687	0
CPCT02020695T	2244	79	76	160	1929	79
CPCT02150048T	2665	18	585	749	1331	0
WIDE01010100T	2157	7	NA	NA	NA	NA
WIDE01010128T	2341	10	324	912	1105	0
CPCT02060259T	2412	98	106	1490	659	157
WIDE01010038T	1930	0	390	506	1034	0
CPCT02220077T	1881	3	280	1243	358	0
WIDE01010179T	3076	116	NA	NA	NA	NA
WIDE01010159T	3413	45	574	1881	958	0
DRUP01340016T	46535	636	NA	NA	NA	NA
WIDE01010031T	1479	0	NA	NA	NA	NA
DRUP01010122T	22874	253	0	37	0	22837
WIDE01010063T	1729	13	26	114	1589	0
WIDE01010206T	1902	13	1	18	1883	0
DRUP01340017T	36216	1200	363	251	35606	2
WIDE01010097T	2078	41	238	875	965	0
WIDE01010196T	2146	16	302	1563	281	0
WIDE01010077T	1987	1	NA	NA	NA	NA
WIDE01010166T	1988	8	191	319	1339	145
WIDE01010273T	2139	0	26	303	1810	0
WIDE01010277T	1003	25	414	12	577	0
WIDE01010252T	1934	21	381	856	697	0
WIDE01010261T	1674	14	136	1033	505	0
CPCT02160059T	2119	133	198	956	713	252
WIDE01010060T	1877	52	90	887	900	0
WIDE01010001T	1733	213	22	20	1388	303
DRUP01230004T	15766	395	4	593	15169	0
WIDE01010258T	2560	11	993	1175	392	0
WIDE01010177T	2083	127	246	981	676	180
CPCT02220076T	2509	36	96	1227	1188	1
WIDE01010275T	670	24	0	9	638	23
CPCT02220081T	1344	0	98	504	742	0
CPCT02080283T	1647	6	NA	NA	NA	NA
CPCT02220067T	2614	11	517	1882	215	0
WIDE01010154T	1788	17	36	239	1513	0
WIDE01010228T	2310	97	139	482	1607	85
WIDE01010168T	1995	22	252	1011	732	0
WIDE01010091T	1956	345	165	663	782	346
WIDE01010037T	2692	121	30	499	1985	178
WIDE01010236T	1932	57	182	1118	558	74
WIDE01010200T	2870	13	204	1715	951	0
WIDE01010226T	356	0	84	32	240	0
WIDE01010227T	3105	13	359	1638	1108	0
WIDE01010218T	3725	171	489	1211	2025	0
WIDE01010096T	2615	120	302	667	1516	130
WIDE01010251T	1867	33	14	104	1671	78
WIDE01010232T	2975	287	44	648	2027	259
WIDE01010500T	2041	30	130	364	1547	0
WIDE01010319T	2022	5	132	1528	362	0
WIDE01010596T	2191	209	39	167	1797	188
WIDE01010464T	1649	5	120	1293	236	0
WIDE01010524T	2430	649	43	185	1649	556
WIDE01010426T	1894	14	240	1100	554	0
WIDE01010731T	2591	2	288	936	1377	5
WIDE01010379T	1291	0	117	668	506	0
WIDE01010456T	2544	44	234	868	1442	0
WIDE01010718T	1772	157	35	95	1410	232
WIDE01010300T	2062	28	431	978	653	0
WIDE01010543T	2943	121	492	640	1811	0
WIDE01010471T	1790	462	30	239	1062	462
WIDE01010402TII	2047	43	187	612	1212	36
WIDE01010488T	3560	18	NA	NA	NA	NA
WIDE01010269T	1580	213	114	373	854	239
WIDE01010027T	1667	17	152	507	1008	0
WIDE01010479T	2099	0	179	367	1553	0
WIDE01010482T	1953	72	296	952	705	0
WIDE01010661T	2399	114	33	402	1864	100
WIDE01010678T	1950	0	1	263	1686	0
WIDE01010429T	2273	21	265	904	1104	0
WIDE01010407T	2506	821	0	56	1741	709
WIDE01010535T	1246	71	73	813	265	95
WIDE01010425T	3394	0	NA	NA	NA	NA
WIDE01010614T	2199	1	410	1346	443	0
WIDE01010729T	2379	28	NA	NA	NA	NA
WIDE01010544T	2326	35	1	246	1981	98
WIDE01010737T	2345	26	114	1312	919	0
WIDE01010541T	1791	120	43	189	1493	66
WIDE01010494T	1975	0	303	746	926	0
WIDE01010599T	1756	12	557	936	263	0
WIDE01010496T	1861	91	456	436	876	93
WIDE01010366T	1933	107	192	1186	480	75
WIDE01010443T	2697	39	127	450	2120	0
WIDE01010569T	297	25	0	0	297	0
WIDE01010745T	1957	3	13	84	1860	0
WIDE01010436T	1879	62	123	1304	452	0
WIDE01010606T	17396	202	17	44	17335	0
WIDE01010338T	2598	56	0	2	2596	0
WIDE01010683T	2118	0	340	949	829	0
WIDE01010441T	1792	4	495	706	591	0
WIDE01010455T	3597	52	446	2294	857	0
WIDE01010451T	12547	19	1110	9477	1966	3
WIDE01010327T	2601	11	127	812	1662	0
WIDE01010508T	2332	19	706	928	698	0
WIDE01010597T	1305	43	23	95	1187	0
WIDE01010575T	1367	187	5	90	1113	162
WIDE01010709T	2350	51	298	676	1268	108
WIDE01010447T	2155	4	416	1439	300	0
WIDE01010715T	2004	65	162	830	943	72
DRUP01040016T	14279	128	NA	NA	NA	NA
WIDE01010439T	1143	68	136	657	352	1
WIDE01010460T	50862	105	150	3569	47143	0
WIDE01010506T	1921	35	522	1037	362	0
WIDE01010669T	3008	10	10	434	2408	156
WIDE01010595T	1971	329	45	126	1482	318
WIDE01010499T	2636	134	74	533	1907	122
WIDE01010625T	2496	292	55	248	1977	219
WIDE01010389T	1682	17	1	51	1630	0
DRUP01020053T	NA	NA	NA	NA	NA	NA
WIDE01010434T	1715	34	266	507	856	89
WIDE01010714T	2339	47	438	1055	846	0
WIDE01010470T	57275	362	16	523	56756	10
WIDE01010299T	2163	153	150	310	1486	217
WIDE01010562T	2909	24	753	922	1234	0
WIDE01010442T	3922	73	0	106	3816	0
DRUP01070080T	20027	0	24	1525	18478	0
WIDE01010353T	1810	515	0	101	1250	459
WIDE01010446T	2042	31	314	532	1196	0
WIDE01010929T	3079	61	219	963	1899	1
WIDE01010925T	1959	103	47	258	1586	68
WIDE01010977T	1539	20	214	384	941	0
WIDE01010921T	2734	108	211	579	1865	79
WIDE01010860T	2781	17	304	1161	1318	1
WIDE01010841T	10769	175	264	162	10343	0
WIDE01010753T	2265	46	449	294	1438	84
WIDE01010912T	2287	19	435	1432	422	1
WIDE01011003T	2624	78	233	1000	1391	0
WIDE01010324T	919	79	38	407	369	105
WIDE01011005T	2170	49	9	77	2084	0
WIDE01010898T	12957	1	57	32	12868	0
WIDE01010916T	2382	132	389	966	1045	9
WIDE01010827T	1695	12	3	46	1646	0
WIDE01010877T	20106	1285	260	30	19818	1
WIDE01010887T	2681	94	172	2054	342	113
WIDE01010927T	1941	14	240	824	877	0
WIDE01010816T	1887	41	66	250	1571	0
WIDE01010892T	1768	18	269	708	791	0
WIDE01010768T	2272	23	437	744	1091	0
WIDE01010979T	2358	15	525	992	841	0
WIDE01010866T	1627	16	342	554	731	0
WIDE01010960T	1710	0	18	74	1618	0
WIDE01010978T	2186	525	51	881	893	361
WIDE01010773T	1332	92	2	43	1289	1
WIDE01010854T	2243	447	27	107	1796	316
WIDE01010757T	1790	90	244	779	767	0
WIDE01010059T	2842	9	NA	NA	NA	NA
WIDE01010942T	2152	33	54	207	1718	173
WIDE01010983T	2691	0	NA	NA	NA	NA
WIDE01010996T	2020	50	464	1072	484	0
WIDE01011014T	2751	8	130	1847	774	0
CPCT02350027T	1400	0	93	533	780	3
WIDE01010783T	1376	319	NA	NA	NA	NA
WIDE01010988T	2640	16	589	1295	756	0
WIDE01011028T	2094	43	368	686	1040	0
WIDE01011030T	21576	351	5	3	21568	0
WIDE01011033T	2534	19	495	725	1314	0
WIDE01011034T	19230	2	2	435	18793	0
WIDE01011035T	2384	7	407	821	1156	0
WIDE01011038T	1440	42	0	3	1437	0
WIDE01011053T	1678	2	350	681	647	0
WIDE01011058T	1902	44	189	830	801	82
WIDE01011062T	2458	2	365	1619	474	0
WIDE01011068T	2373	67	66	234	2008	65
WIDE01011105T	1811	17	368	631	814	1
WIDE01011108T	1971	78	165	1190	505	111
CPCT02150033T	463	55	0	1	410	52
CPCT02300023T	586	8	46	43	497	0
CPCT02290041T	1415	5	649	589	102	75
CPCT02230051T	244	47	0	7	188	49
CPCT02310017T	2064	59	24	57	1983	0
CPCT02180015T	808	0	35	88	685	0
CPCT02230066T	561	19	10	14	537	0
CPCT02340031T	877	23	5	29	843	0
CPCT02150022T	533	0	12	39	482	0
CPCT02150026T	1238	14	52	110	1076	0
CPCT02150030T	1021	30	187	764	70	0
CPCT02180001T	1211	24	399	624	188	0
CPCT02180037T	570	29	16	7	547	0
CPCT02330016T	1312	0	493	373	446	0
CPCT02310012T	1161	33	26	142	965	28
CPCT02180068T	2044	33	588	645	813	1
CPCT02040278T	976	55	67	58	808	43
CPCT02150038T	815	49	45	65	657	48
WIDE01010265T	859	15	21	9	829	0
WIDE01010545T	2143	62	222	1646	275	0
CPCT02060183T	2073	0	648	822	603	0
CPCT02220037T	2256	0	477	1283	496	0
CPCT02040156T	1470	1	236	979	255	0
CPCT02380030T	808	86	8	31	673	96
CPCT02080255T	1477	6	272	955	250	0
CPCT02030519T	2063	52	597	494	972	0
CPCT02340019T	2640	17	727	943	970	0
CPCT02340012T	927	55	0	3	924	0
CPCT02340034T	1554	95	266	478	642	168
CPCT02070015T	2534	62	0	40	2494	0
CPCT02010815T	1647	6	404	939	304	0
CPCT02030245T	443	7	89	243	111	0
CPCT02230097T	1006	0	109	360	537	0
CPCT02060255T	1343	0	138	450	755	0
CPCT02100098T	1153	17	290	272	591	0
CPCT02100163T	1491	21	2	98	1391	0
CPCT02340011T	778	24	96	274	408	0
CPCT02340077T	1748	2	168	763	817	0
CPCT02020712T	1101	16	158	827	116	0
CPCT02210033T	1619	23	71	108	1440	0
CPCT02340070T	1151	0	NA	NA	NA	NA
CPCT02130105T	428	0	38	32	358	0
CPCT02050163T	1121	5	106	628	387	0
CPCT02180054T	1826	16	291	1022	513	0
CPCT02050384T	1186	17	109	565	512	0
CPCT02220007T	859	0	NA	NA	NA	NA
CPCT02130033T	1244	20	NA	NA	NA	NA
CPCT02330059T	1545	33	419	511	615	0
CPCT02010569T	2866	73	392	1016	1458	0
CPCT02030277T	1590	43	146	433	1011	0
CPCT02050330T	1563	594	106	107	802	548
CPCT02060213T	958	0	NA	NA	NA	NA
CPCT02230070T	2857	125	40	161	2656	0
CPCT02130140T	8174	21	2347	339	5490	1
CPCT02090026T	932	0	250	479	203	0
CPCT02060200T	1295	0	154	479	664	1
CPCT02070342T	1457	0	166	900	391	0
CPCT02020526T	1380	22	427	271	682	0
CPCT02030310T	1566	1	343	403	822	1
CPCT02070034T	1178	200	257	877	44	0
CPCT02330072TII	2624	1	538	1160	926	0
CPCT02100186T	2071	5	208	1723	140	0
CPCT02050041T	2588	57	208	916	1464	0
CPCT02250004T	1756	14	NA	NA	NA	NA
CPCT02090037T	1210	17	392	615	182	21
CPCT02400002T	1374	8	302	919	153	0
CPCT02030335T	1786	3	309	1033	444	0
CPCT02050362T	2949	5	697	986	1266	0
CPCT02050287T	885	12	189	424	248	24
CPCT02020622T	1888	11	278	1501	109	0
CPCT02130030T	1293	95	10	95	1092	96
CPCT02050147T	1824	47	597	557	670	0
CPCT02230068T	1066	6	9	81	976	0
CPCT02010662T	1438	161	NA	NA	NA	NA
CPCT02070120T	1580	5	93	1169	318	0
CPCT02210045T	2162	3	402	553	1207	0
CPCT02230106T	1102	2	77	253	772	0
CPCT02120150T	1401	1	NA	NA	NA	NA
CPCT02050292T	1003	6	136	709	160	1
CPCT02110032T	640	0	14	57	569	0
CPCT02210067T	1062	0	73	595	394	0
CPCT02040108T	1044	0	71	811	162	0
CPCT02080130T	1587	33	149	973	469	2
CPCT02100141T	1651	131	189	781	522	159
CPCT02110061T	1031	28	202	374	455	0
CPCT02230034T	1628	0	80	1021	527	0
CPCT02010813T	1192	0	111	761	320	0
CPCT02120069T	1979	49	407	871	701	0
CPCT02050357T	1407	33	271	824	269	43
CPCT02100127T	1477	11	141	619	717	0
CPCT02120011T	2002	22	351	981	670	0
CPCT02040119T	1018	46	311	234	423	50
CPCT02440014T	1424	14	175	725	524	0
CPCT02150021T	1124	7	145	606	373	0
CPCT02050380T	2172	16	310	1494	368	0
CPCT02050100T	946	101	NA	NA	NA	NA
CPCT02130049T	2031	22	448	1160	423	0
CPCT02040242T	1257	1	193	571	493	0
CPCT02300031T	1428	2	200	1009	219	0
CPCT02100032T	1114	20	244	240	630	0
CPCT02330033T	909	7	94	539	276	0
CPCT02120012T	2182	30	86	1460	636	0
DRUP01010108T	2356	3	428	1390	538	0
CPCT02340073T	487	1	3	23	461	0
CPCT02130107T	1271	19	49	63	1159	0
CPCT02010833T	2168	3	326	480	1362	0
CPCT02330094T	1592	31	285	512	795	0
CPCT02220056T	1702	0	365	777	562	1
CPCT02020536T	906	0	126	551	229	0
CPCT02030304T	1162	19	297	102	749	14
CPCT02230030T	1453	89	222	440	686	105
CPCT02100126T	1552	10	518	593	441	0
CPCT02330124T	1926	37	116	1611	203	2
CPCT02050314T	454	0	NA	NA	NA	NA
CPCT02100140T	1051	1	NA	NA	NA	NA
CPCT02340041T	3061	80	471	792	1798	0
CPCT02050233T	1016	177	137	128	594	157
CPCT02150012T	2345	0	551	1522	272	0
CPCT02030286T	1653	58	69	1584	0	0
CPCT02060199T	592	1	2	50	540	0
CPCT02300039T	1584	59	8	632	861	83
CPCT02100044T	1702	7	205	595	902	0
CPCT02100176T	1552	7	101	881	570	0
CPCT02060248T	856	9	234	403	219	0
CPCT02100061T	1048	22	265	433	350	0
CPCT02110018T	1273	0	NA	NA	NA	NA
CPCT02040043T	1351	1	64	1089	198	0
CPCT02050403T	889	0	90	551	248	0
CPCT02100133T	439	9	158	187	94	0
CPCT02130041T	1862	217	463	582	817	0
CPCT02160007T	577	0	108	421	48	0
CPCT02130091T	1824	22	535	700	589	0
CPCT02030257T	1108	11	195	340	573	0
CPCT02050343T	524	18	104	113	307	0
CPCT02080141T	2010	6	336	708	966	0
CPCT02030307T	1846	4	269	863	718	2
CPCT02230039T	1442	5	159	486	797	0
CPCT02230029T	1340	12	113	183	1044	0
CPCT02130071T	625	0	NA	NA	NA	NA
CPCT02100009T	1857	84	263	921	673	0
CPCT02030363T	2264	0	192	127	1951	3
CPCT02020527T	645	0	182	312	151	0
CPCT02380021T	1701	88	42	96	1563	0
CPCT02040196T	2776	26	624	465	1687	0
CPCT02130070T	809	92	0	61	0	748
CPCT02100064T	1351	0	NA	NA	NA	NA
WIDE01010073T	910	11	156	441	313	0
WIDE01010016T	1209	0	258	301	650	0
CPCT02330132T	1146	30	146	316	684	0
WIDE01010009T	1250	35	10	15	1225	0
WIDE01010539T	2637	23	204	2136	297	0
WIDE01010725T	959	196	7	55	741	156
WIDE01010644T	605	55	NA	NA	NA	NA
WIDE01010590T	1984	153	70	148	1614	152
WIDE01010355T	1257	19	235	382	644	2
WIDE01010704T	2141	0	237	1120	784	0
WIDE01010691T	1185	2	102	859	224	0
WIDE01010747T	2172	15	292	762	1118	0
WIDE01010963T	2213	40	191	1001	1021	0
WIDE01011089T	938	13	351	229	358	0
CPCT02030445T	1718	62	129	0	1589	0
CPCT02060247T	1551	59	3	3	1545	0
CPCT02030537T	1962	89	0	51	1911	0
CPCT02030441T	2164	37	0	77	2087	0
CPCT02330058T	1733	55	0	74	1611	48
CPCT02030426T	2503	109	0	18	2485	0
CPCT02030421T	1960	930	120	5	872	963
CPCT02100116T	2801	1077	0	1	1690	1110
CPCT02050396T	5334	4827	NA	NA	NA	NA
DRUP01050003T	181968	7260	0	183	181785	0
CPCT02060264T	2234	316	54	3	1752	425
CPCT02030529T	1568	41	2	2	1564	0
CPCT02100147T	1739	57	1	4	1734	0
CPCT02030465T	1440	165	2	17	1254	167
CPCT02030385T	1301	49	1	5	1295	0
CPCT02100134T	761	67	14	50	638	59
CPCT02030467T	2158	85	209	4	1945	0
CPCT02030434T	1115	62	76	64	912	63
CPCT02080162T	5172	302	493	128	4131	420
CPCT02030487T	1507	194	0	21	1327	159
CPCT02100159T	1517	45	62	5	1450	0
CPCT02100085T	1648	72	0	9	1639	0
CPCT02100092T	1691	69	12	47	1632	0
CPCT02030516T	2117	262	52	13	2068	8
CPCT02050254T	1722	96	32	60	1521	109
CPCT02030417T	2277	297	NA	NA	NA	NA
CPCT02060161T	411	0	3	26	382	0
CPCT02100129T	846	7	0	1	845	0
CPCT02080225T	2015	75	172	4	1841	1
CPCT02060224T	314	56	NA	NA	NA	NA
CPCT02030375T	1594	85	0	2	1592	0
CPCT02030506T	1415	48	7	15	1397	2
CPCT02100101T	1456	81	3	53	1249	151
CPCT02060147T	1998	22	25	1	1972	0
CPCT02030510T	739	68	0	0	646	93
CPCT02030410T	1637	1	225	1355	57	0
CPCT02100084T	1905	154	0	76	1646	183
CPCT02030483T	2081	24	30	1337	714	0
CPCT02030387T	1498	87	1	41	1456	0
CPCT02100122T	722	22	0	1	721	0
CPCT02100095T	674	1	0	202	0	472
CPCT02030396T	1981	84	8	66	1829	78
CPCT02030532T	189415	3273	2	2331	187086	2
CPCT02030399T	1573	303	1	1	1128	443
CPCT02100121T	1828	48	5	3	1824	2
CPCT02060225T	2151	83	0	7	1978	166
DRUP01060020T	1831	94	1	35	1702	93
CPCT02030466T	1924	0	1	15	1908	0
CPCT02030416T	1926	147	0	3	1923	0
CPCT02030453T	2711	83	116	15	2580	0
CPCT02100151T	1979	76	0	1	1978	0
CPCT02100108T	486	36	7	14	465	0
CPCT02100087T	488	108	0	13	0	475
CPCT02050176T	969	9	NA	NA	NA	NA
CPCT02030400T	2466	242	86	76	2304	0
CPCT02030386T	2086	100	10	15	2061	0
CPCT02030430T	41996	5758	917	1926	39155	1
CPCT02030476T	2627	98	34	12	2599	9
CPCT02100090T	2386	211	0	2	2384	0
CPCT02030392T	14747	1565	58	828	12811	1050
CPCT02030374T	1248	2	NA	NA	NA	NA
CPCT02060246T	684	25	3	7	674	0
CPCT02100081T	1238	25	0	0	1238	0
CPCT02050390T	2326	6	403	1257	666	0
CPCT02050224T	393	54	1	10	320	62
CPCT02060054T	508	22	1	21	486	0
CPCT02080057T	817	8	7	18	792	0
CPCT02040063T	497	1	96	253	148	0
CPCT02350014T	491	6	0	2	489	0
CPCT02020546T	246	0	63	167	16	0
CPCT02020315T	428	14	86	283	59	0
CPCT02130158T	284	15	0	15	269	0
CPCT02020421T	361	0	49	235	77	0
CPCT02130048T	334	4	4	18	312	0
CPCT02020326T	323	6	6	17	300	0
CPCT02020403T	348	55	0	13	283	52
CPCT02090015T	402	0	178	193	31	0
CPCT02050360T	379	19	2	25	289	63
CPCT02060053T	355	6	6	17	310	22
CPCT02020235T	235	20	4	11	201	22
CPCT02180031T	417	14	0	35	336	46
CPCT02080054T	413	17	24	19	358	12
CPCT02020330T	419	70	18	57	271	73
CPCT02130155T	280	7	1	2	277	0
CPCT02020861T	384	17	0	35	332	17
CPCT02130156T	338	0	21	144	173	0
CPCT02020413TII	206	0	12	9	185	0
CPCT02040012T	505	8	136	178	191	0
CPCT02130057T	353	0	50	212	91	0
CPCT02020759T	376	8	75	276	25	0
CPCT02130157T	317	19	NA	NA	NA	NA
CPCT02130096T	476	8	68	322	86	0
CPCT02020690T	349	32	0	5	344	0
CPCT02040020T	250	28	5	84	134	27
CPCT02030336T	470	0	136	188	146	0
CPCT02010372T	922	7	165	278	479	0
CPCT02300036T	422	63	0	3	374	45
CPCT02080101T	332	46	0	26	258	48
CPCT02020852T	362	0	40	234	88	0
CPCT02050386T	351	10	15	53	274	9
CPCT02060242T	425	9	20	38	367	0
CPCT02130159T	302	15	2	7	293	0
CPCT02020283T	447	13	83	287	77	0
CPCT02080186T	366	21	9	19	319	19
CPCT02190014T	300	0	0	26	274	0
CPCT02020839T	177	0	0	0	174	3
CPCT02050035T	371	15	NA	NA	NA	NA
CPCT02060276T	328	0	NA	NA	NA	NA
CPCT02130127T	415	67	0	14	401	0
CPCT02080215T	324	11	7	19	298	0
CPCT02050295T	254	9	31	25	193	5
CPCT02130167T	355	87	1	17	262	78
CPCT02130180T	346	6	0	30	316	0
CPCT02020886T	481	0	90	257	134	0
CPCT02130186T	470	3	20	26	424	0
CPCT02130172T	318	11	0	9	309	0
CPCT02130184T	366	27	11	20	316	19
CPCT02020752T	341	0	13	55	273	0
CPCT02050004T	394	40	0	5	389	0
CPCT02120177T	218	82	0	0	138	80
CPCT02030431T	267	0	0	11	256	0
CPCT02060269T	347	0	156	170	21	0
CPCT02140017TII	504	26	1	22	481	0
CPCT02020232TII	420	0	115	100	205	0
CPCT02020376T	366	41	14	12	340	0
CPCT02300034T	310	0	36	207	67	0
CPCT02020580T	362	5	63	178	121	0
CPCT02180033T	3628	11	857	1629	1142	0
CPCT02060029T	394	10	194	173	27	0
CPCT02090021T	365	5	7	311	47	0
CPCT02070169T	127	0	0	2	125	0
CPCT02140071T	393	65	1	0	392	0
CPCT02290045T	246	0	58	74	114	0
CPCT02140003T	542	1	255	36	243	8
CPCT02140093T	329	0	3	24	302	0
CPCT02030356T	425	178	1	1	244	179
CPCT02020236T	268	8	0	0	268	0
CPCT02230079T	519	57	34	15	433	37
CPCT02140087T	365	7	2	10	353	0
CPCT02060067T	240	19	2	7	231	0
CPCT02080111T	393	18	27	22	319	25
CPCT02030243T	397	27	0	4	393	0
CPCT02050018T	4	4	NA	NA	NA	NA
CPCT02100190T	308	13	44	192	72	0
CPCT02120014T	406	25	NA	NA	NA	NA
CPCT02040011T	459	0	9	25	425	0
CPCT02020592T	206	0	2	6	198	0
CPCT02020566T	21	11	0	0	14	7
CPCT02230015T	370	7	0	1	369	0
CPCT02140059T	255	26	0	6	249	0
CPCT02140094TII	500	53	138	283	79	0
CPCT02120096T	386	0	65	243	78	0
CPCT02180055T	494	3	8	50	436	0
CPCT02060149T	285	0	65	93	127	0
CPCT02030332T	474	1	66	56	352	0
CPCT02060039T	257	14	0	0	257	0
CPCT02360007T	7852	1	2951	3732	1169	0
CPCT02330047T	322	32	0	15	279	28
CPCT02030543T	478	11	122	230	126	0
CPCT02300027T	215	2	1	1	215	1
CPCT02160024T	518	1	250	101	167	0
CPCT02230059T	237	0	22	198	17	0
CPCT02140080T	228	0	7	35	186	0
CPCT02020447T	413	61	0	15	344	54
CPCT02140046T	414	8	137	72	205	0
CPCT02180022T	550	1	148	230	172	0
CPCT02140095T	300	21	0	2	298	0
CPCT02110007T	417	18	22	33	362	0
CPCT02140010T	359	2	0	1	358	0
CPCT02100107T	333	7	6	33	294	0
CPCT02050022T	479	33	0	11	468	0
CPCT02060050T	366	48	22	35	309	0
WIDE01011081T	219	24	0	0	219	0
CPCT02050087T	359	3	NA	NA	NA	NA
CPCT02140015T	452	2	0	8	444	0
CPCT02140042TII	109	0	3	4	102	0
CPCT02020480T	242	41	4	5	194	39
CPCT02020414T	536	5	167	186	183	0
CPCT02020764T	560	4	8	8	544	0
CPCT02050077T	331	12	0	17	305	9
CPCT02130164T	228	26	0	0	228	0
CPCT02020718T	357	0	0	5	352	0
CPCT02080177T	322	0	NA	NA	NA	NA
CPCT02120085T	433	26	1	10	422	0
CPCT02160052T	533	29	86	131	316	0
CPCT02010340T	365	96	0	0	258	107
CPCT02230033T	209	0	2	17	190	0
CPCT02230096T	511	12	78	30	403	0
CPCT02230113T	181	75	0	3	102	76
CPCT02030551TII	556	12	224	125	207	0
CPCT02140070T	389	119	2	9	250	131
CPCT02040248T	315	5	0	7	308	0
CPCT02180064T	285	10	0	0	285	0
CPCT02120027T	462	12	119	235	108	0
CPCT02060138T	336	2	0	1	335	0
CPCT02190050T	456	4	0	0	456	0
CPCT02050051T	352	0	NA	NA	NA	NA
CPCT02040048T	318	14	0	12	295	11
CPCT02020217T	332	20	16	4	312	0
CPCT02120102T	197	0	0	6	191	0
CPCT02040181T	419	147	143	234	42	0
CPCT02050317T	191	0	12	119	60	0
CPCT02100174T	483	4	128	164	191	0
CPCT02120002T	434	0	87	303	44	0
CPCT02180067T	215	3	0	6	209	0
CPCT02050407T	407	0	47	274	86	0
CPCT02140034T	349	0	85	190	74	0
CPCT02050038T	326	0	3	2	321	0
CPCT02180003T	199	50	0	0	199	0
CPCT02020866T	349	14	0	10	339	0
CPCT02050034T	369	0	NA	NA	NA	NA
CPCT02100138T	307	0	NA	NA	NA	NA
CPCT02140074T	582	3	230	150	202	0
CPCT02020865T	229	24	2	22	188	17
CPCT02040007T	354	0	58	227	69	0
CPCT02020340T	335	24	7	2	326	0
CPCT02120090T	308	0	24	49	235	0
CPCT02440012T	259	1	19	20	220	0
CPCT02180076T	276	0	0	28	248	0
WIDE01010156T	209	50	NA	NA	NA	NA
CPCT02120195T	459	0	NA	NA	NA	NA
CPCT02020940TII	254	8	1	8	239	6
CPCT02140106T	313	3	0	0	313	0
CPCT02080302T	534	9	6	50	478	0
CPCT02020955T	214	0	0	1	213	0
CPCT02120200T	329	1	0	0	329	0
CPCT02160060T	374	0	0	27	347	0
CPCT02180078T	376	0	63	59	254	0
CPCT02190055T	550	4	236	158	156	0
CPCT02100200T	357	27	0	0	357	0
CPCT02340107T	873	1	402	272	199	0
CPCT02440023T	522	145	110	291	121	0
CPCT02020965T	270	0	7	13	250	0
CPCT02220075T	498	0	86	374	38	0
CPCT02070470T	152	0	53	3	96	0
CPCT02140105T	376	0	77	211	88	0
CPCT02140104T	336	12	2	22	312	0
CPCT02210083T	245	0	0	34	211	0
CPCT02120176T	409	31	0	39	370	0
WIDE01010600T	147	23	2	11	115	19
WIDE01010710T	858	2	375	403	80	0
WIDE01010727T	202	0	32	143	27	0
WIDE01010520T	546	12	127	172	247	0
WIDE01010820T	485	16	2	5	459	19
WIDE01010936T	164	0	0	14	150	0
WIDE01010995T	99	0	0	1	98	0
CPCT02010370T	287	68	1	4	218	64
CPCT02060018T	184	10	53	108	11	12
CPCT02010549T	167	14	0	8	147	12
CPCT02030246TII	377	13	97	205	75	0
CPCT02010250T	530	26	175	196	159	0
CPCT02010347TII	426	37	6	15	405	0
CPCT02100091T	1604	439	21	29	1079	475
CPCT02060211T	414	19	91	117	188	18
CPCT02340026T	384	9	1	3	380	0
