sample_id	clock_like_number	subclonal_count	timing_late_clonal_count	timing_early_clonal_count	timing_na_clonal_count	timing_subclonal_count
CPCT02330071T	599	18	215	163	221	0
CPCT02110076T	1242	0	642	368	232	0
CPCT02210020T	264	7	0	5	259	0
CPCT02030218TIII	427	0	104	209	114	0
CPCT02230118T	584	4	154	307	123	0
CPCT02040069T	807	0	280	217	310	0
CPCT02230095T	410	27	0	6	404	0
CPCT02050338T	391	10	17	20	354	0
CPCT02120087T	707	15	210	133	364	0
CPCT02330066T	1333	1	NA	NA	NA	NA
CPCT02030221T	748	16	154	263	331	0
CPCT02020245TIII	258	0	4	4	250	0
CPCT02460001T	924	121	224	157	425	118
CPCT02080053T	710	0	51	18	641	0
CPCT02290001T	432	7	79	253	100	0
CPCT02040207T	567	0	301	146	120	0
CPCT02250007T	610	94	140	105	178	187
CPCT02450016T	668	20	13	29	626	0
CPCT02020288T	619	33	102	186	299	32
CPCT02010936T	385	12	2	39	322	22
CPCT02100067TII	514	3	97	251	166	0
CPCT02110077T	1361	278	24	60	993	284
CPCT02100029T	676	21	93	221	340	22
CPCT02070168T	386	13	2	18	366	0
CPCT02160051T	385	12	0	6	379	0
CPCT02010746T	504	117	11	31	358	104
CPCT02110056T	827	12	175	272	380	0
CPCT02160047T	1185	3	407	399	379	0
CPCT02040160T	865	25	224	170	401	70
CPCT02050359T	480	10	7	6	467	0
CPCT02080060T	532	37	7	14	513	1
CPCT02040008T	436	86	43	40	268	85
CPCT02100027T	522	0	0	57	465	0
CPCT02220029T	1334	0	752	262	320	0
CPCT02120029T	491	9	5	9	477	0
CPCT02370024T	492	50	3	13	476	0
CPCT02010691T	827	0	333	152	342	0
CPCT02190049T	1138	5	436	265	437	0
CPCT02080253T	890	37	323	308	259	0
CPCT02120165T	427	7	95	269	63	0
CPCT02030451T	333	15	10	16	291	16
CPCT02160005T	789	32	391	273	125	0
CPCT02080125T	475	27	24	31	386	34
CPCT02080016T	516	103	51	196	135	134
CPCT02020314T	426	9	6	34	376	10
CPCT02020191T	409	32	14	29	349	17
CPCT02050088T	402	9	31	193	178	0
CPCT02010896T	889	13	346	170	373	0
CPCT02360012T	368	7	6	32	311	19
DRUP01010012T	692	10	273	223	175	21
CPCT02290040T	587	0	145	197	245	0
CPCT02290037T	625	93	115	259	161	90
CPCT02040191T	599	123	78	54	330	137
CPCT02040017T	306	108	0	5	196	105
CPCT02150018T	474	42	102	159	139	74
CPCT02080153T	1094	336	0	7	1087	0
CPCT02470001T	322	3	47	226	49	0
CPCT02020197T	805	43	232	116	429	28
CPCT02050215T	677	38	192	118	292	75
CPCT02010434T	534	36	0	10	524	0
